ticker,name,legalname,sic,stockexchange,shortDescription,longDescription
WMT,Walmart Inc,Walmart Inc.,5331,NYSE,Wal-Mart Stores  Inc   engages in retail and wholesale business   It operates through the following business segments  Walmart U  S    Walmart International  and Sam's Club   The Walmart U  S   segment includes retail store and digital retail operations in the U  S   It also offers financial services and related products such as money orders  prepaid cards  wire transfers  check cashing  and bill payment   The Walmart International segment is categorized into retail  wholesale  and other formats operations outside the U  S   These categories include supercenters  supermarkets  hypermarkets  warehouse clubs  Sam's Clubs  cash and carry  home improvement  specialty electronics  apparel store  drug stores  convenience stores  and digital retail   The Sam's Club segment comprises membership-only warehouse clubs and samsclubs  com   It offers specialty services  auto buying  pharmacy  optical  hearing aid centers  tire and battery centers  and business operations support services   The company was founded by Samuel Moore Walton and James Lawrence Walton on July 2  1962 and is headquartered in Bentonville  AR  ,Wal-Mart Stores  Inc. operates retail stores in various formats worldwide. It operates through three segments: Walmart U.S.  Walmart International  and Sam's Club. The company operates discount stores  supermarkets  supercenters  hypermarkets  warehouse clubs  cash and carry stores  home improvement stores  specialty electronics stores  apparel stores  drug stores  convenience stores  and membership-only warehouse clubs; and retail Websites  such as walmart.com and samsclub.com  as well as mobile commerce applications. It offers grocery products  including meat  produce  natural and organics  deli and bakery  dairy  frozen foods  alcoholic and nonalcoholic beverages  floral and dry grocery  as well as consumables  such as health and beauty aids  baby products  household chemicals  paper goods  and pet supplies; and health and wellness products  which include pharmacy  optical services  clinical services  over-the-counter drugs  and other medical products. The company also provides electronics  cameras and supplies  photo processing services  cellular phones  cellular service plan contracts and prepaid service  movies  music  video games  and books; stationery  automotive  hardware and paint  sporting goods  and outdoor living and horticulture  as well as fabrics  crafts  and seasonal merchandise; apparel for women  girls  men  boys  and infants  as well as shoes  jewelry  and accessories; and home furnishings  housewares and small appliances  bedding  home decor  and toys. In addition  it offers fuel and financial services and related products  including money orders  prepaid cards  wire transfers  money transfers  check cashing  and bill payment. In addition  it offers brand name merchandise  including hardgoods  softgoods  and selected private-label items  such as Member's Mark. It operates 11 695 stores under 59 banners in 28 countries and e-commerce Websites in 11 countries. Wal-Mart Stores  Inc. was founded in 1945 and is headquartered in Bentonville  Arkansas.
XOM,Exxon Mobil Corp,EXXON MOBIL CORP,2911,NYSE,Exxon Mobil Corp   engages in the exploration  development  and distribution of oil  gas  and petroleum products   It operates through the following segments  Upstream  Downstream  and Chemical   The Upstream segment produces crude oil and natural gas   The Downstream segment manufactures and trades petroleum products   The Chemical segment offers petrochemicals   The company was founded by John D   Rockefeller in 1882 and is headquartered in Irving  TX  ,Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States  Canada/South America  Europe  Africa  Asia  and Australia/Oceania. The company operates through Upstream  Downstream  and Chemical segments. It also manufactures petroleum products; manufactures and markets commodity petrochemicals  including olefins  aromatics  polyethylene  and polypropylene plastics  as well as various specialty product; and transports and sells crude oil  natural gas  and petroleum products. The company has approximately 35 047 gross and 29 375 net operated wells. Exxon Mobil Corporation was founded in 1870 and is headquartered in Irving  Texas.
BRK.A,Berkshire Hathaway Inc,BERKSHIRE HATHAWAY INC,6331,NYSE,Berkshire Hathaway  Inc   engages in the provision of property and casualty insurance and reinsurance  utilities and energy  freight rail transportation  finance  manufacturing  retailing  and services   It operates through following segments  GEICO  General Re  Berkshire Hathaway Reinsurance Group  Berkshire Hathaway Primary Group  Burlington Northern Santa Fe  LLC  Berkshire Hathaway Energy  McLane Company  Manufacturing  Service and Retailing  and Finance and Financial products   The GEICO segments involves in underwriting private passenger automobile insurance mainly by direct response methods   The General Re offers underwriting excess-of-loss  quota-share  and facultative reinsurance   The Berkshire Hathaway Reinsurance Group segment consists of underwriting excess-of-loss and quota-share reinsurance for insurers and reinsurers   The Berkshire Hathaway Primary Group segment comprises of underwriting multiple lines of property and casualty insurance policies   The BNSF segment operates railroad systems in North America   The Berkshire Hathaway Energy segments deals with regulated electric and gas utility  including power generation and distribution activities  and domestic real estate brokerage and brokerage franchisor   The McLane Company segment offers wholesale distribution of groceries and non-food items   The Manufacturing segment includes industrial and end-user products  building products  and apparel   The Service and Retailing segment involves providing fractional aircraft ownership programs  aviation pilot training  electronic components distribution  and retailing   The Finance and Financial Products segment includes manufactured housing and consumer financing; transportation equipment  manufacturing and leasing; and furniture leasing   The company was founded by Oliver Chace in 1839 and is headquartered in Omaha  NE  ,Berkshire Hathaway  Inc. is a publicly owned investment manager. Through its subsidiaries  the firm primarily engages in the insurance and reinsurance of property and casualty risks business. Berkshire Hathaway was founded in 1889 and is based in Omaha  Nebraska.
MCK,McKesson Corp,MCKESSON CORP,5122,NYSE,McKesson Corp   is a health services and information technology company  which provides medicines  pharmaceutical and care management products   It operates through the McKesson Distribution Solutions and McKesson Technology Solutions segments   The McKesson Distribution Solutions segment distributes ethical and proprietary drugs  medical-surgical supplies and equipment and health and beauty care products throughout North America   This segment also provides specialty pharmaceutical solutions for biotech and pharmaceutical manufacturers  sells financial  operational and clinical solutions for pharmacies   The McKesson Technology Solutions segment provides software  automation  business services and consulting to hospitals  physician offices  imaging centers and home healthcare   It also provides interactive connectivity services that streamline clinical  financial and administrative communication between patients  providers  payers  pharmacies and financial institutions agencies and payers   The company was founded by John McKesson and Charles Olcott in 1833 and is headquartered in Wilmington  DE  ,McKesson Corporation operates as a pharmaceutical distribution services and information technology company in the United States and internationally. It offers pharmaceuticals and medical supplies  and services for healthcare operations. The company operates in two segments  McKesson Distribution Solutions and McKesson Technology Solutions. The McKesson Distribution Solutions segment distributes branded and generic pharmaceutical drugs and other healthcare-related products; and provides practice management  technology  clinical support  and business solutions to community-based oncology and other specialty practices. This segment also provides specialty pharmaceutical solutions for pharmaceutical manufacturers; and medical-surgical supply distribution  equipment  logistics  and other services to healthcare providers. In addition  this segment operates retail pharmacies in Europe and supports independent pharmacy networks in North America; sells financial  operational  and clinical solutions to pharmacies; and provides consulting  outsourcing  and other services. The McKesson Technology Solutions segment delivers enterprise-wide clinical  patient care  financial  supply chain  and strategic management technology solutions; and connectivity  outsourcing  and other services  including remote hosting and managed services to healthcare organizations. This segment's product portfolio addresses various healthcare clinical and business performance needs ranging from medication safety and information access to revenue cycle management  resource utilization  and physician adoption of electronic health records. This segment serves integrated delivery networks  hospitals  physician practices  home healthcare providers  retail pharmacies  and payers. McKesson Corporation was founded in 1833 and is headquartered in San Francisco  California.
UNH,UnitedHealth Group Inc,UNITEDHEALTH GROUP INC,6324,NYSE,UnitedHealth Group  Inc   provides health care coverage  software and data consultancy services   It operates through the following segments  UnitedHealthcare  OptumHealth  OptumInsight  and OptumRx   The UnitedHealthcare segment utilizes Optum's capabilities to help coordinate patient care  improve affordability of medical care  analyze cost trends  manage pharmacy benefits  work with care providers more effectively  and create a simpler consumer experience   The OptumHealth segment provides health services business serving the broad health care marketplace  including payers  care providers  employers  government  life sciences companies  and consumers   The OptumInsight segment is health information  technology  services  and consulting company providing software and information products  advisory consulting services  and business process outsourcing to participants in the healthcare industry   The OptumRx segment provides pharmacy benefit management (PBM) services   The company was founded by Richard T   Burke in January 1977 and is headquartered in Minneapolis  MN  ,UnitedHealth Group Incorporated operates as a diversified health and well-being company in the United States. The company's UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers  public sector employers  mid-sized employers  small businesses  individuals  and military service members; and health care coverage  and health and well-being services to individuals aged 50 and older addressing their needs for preventive and acute health care services. It also provides services dealing with chronic disease and other specialized issues for older individuals; Medicaid plans  Children's Health Insurance Program  and health care programs; and health services  including commercial health and dental benefits. This segment serves through a network of 1 million physicians and other health care professionals  as well as approximately 6 000 hospitals and other facilities. Its OptumHealth segment offers health management services  including care delivery and management  wellness and consumer engagement  distribution  and health financial services. This segment serves individuals through programs offered by employers  payers  government entities  and directly with the care delivery systems. The company's OptumInsight segment provides software and information products  and business process outsourcing and support services to hospital systems  physicians  health plans  governments  life sciences companies  and other organizations. Its OptumRx segment offers pharmacy care services and programs  including retail network contracting  home delivery and specialty pharmacy  and purchasing and clinical  as well as develops programs in areas  such as step therapy  formulary management  drug adherence  and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka  Minnesota.
CVS,CVS Health Corp,CVS HEALTH Corp,5912,NYSE,CVS Health Corp   engages in the provision of health care services   It operates trough the following segments  Pharmacy Services  Retail or Long Term Care  and Corporate   The Pharmacy Services segment offers pharmacy benefit management solutions   The Retail or Long Term Care segment includes selling of prescription drugs and assortment of general merchandise   The Corporate segment involves in providing management and administrative services   The company was founded by Stanley P   Goldstein and Ralph Hoagland in 1963 and is headquartered in Woonsocket  RI  ,CVS Health Corporation  together with its subsidiaries  provides integrated pharmacy health care services. It operates through Pharmacy Services and Retail/LTC segments. The Pharmacy Services segment offers pharmacy benefit management solutions  such as plan design and administration  formulary management  Medicare Part D services  mail order  specialty pharmacy and infusion services  retail pharmacy network management services  prescription management systems  clinical services  disease management programs  and medical pharmacy management services. This segment serves employers  insurance companies  unions  government employee groups  health plans  Medicare Part D plans  managed Medicaid plans  plans offered on public and private exchanges  other sponsors of health benefit plans  and individuals under the CVS Caremark Pharmacy Services  Caremark  CVS Caremark  CarePlus CVS Pharmacy  CVS Specialty  Accordant  SilverScript  NovoLogix  Coram  Navarro Health Services  and ACS Pharmacy names. As of December 31  2016  it had 23 retail specialty pharmacy stores  13 specialty mail order pharmacies and 4 mail order dispensing pharmacies  and 84 branches for infusion and enteral services. The Retail/LTC segment sells prescription drugs  over-the-counter drugs  beauty products and cosmetics  personal care products  convenience foods  seasonal merchandise  and greeting cards  as well as offers photo finishing services. It has 9 709 retail stores in 49 states  the District of Columbia  Puerto Rico  and Brazil primarily under the CVS Pharmacy  CVS  CVS Pharmacy y mas  Longs Drugs  Navarro Discount Pharmacy  and Drogaria Onofre names; online retail pharmacy Websites; and 38 onsite pharmacy stores  long-term care pharmacy operations  and retail health care clinics. The company was formerly known as CVS Caremark Corporation and changed its name to CVS Health Corporation in September 2014. CVS Health Corporation was founded in 1892 and is headquartered in Woonsocket  Rhode Island.
GM,General Motors Co,General Motors Co,3711,NYSE,General Motors Co   engages in the designing  manufacturing  and selling of cars  trucks  and automobile parts   It also provides automotive financing services through General Motors Financial Company  Inc   It operates through the following segments  GM North America  GM Europe  GM International Operations  GM South America  and Corporate   The company was founded by William C   Durant on September 16  1908 and is headquartered in Detroit  MI  ,General Motors Company designs  builds  and sells cars  trucks  crossovers  and automobile parts worldwide. The company operates through GM North America  GM Europe  GM International Operations  GM South America  and GM Financial segments. It markets its vehicles primarily under the Buick  Cadillac  Chevrolet  GMC  Holden  Opel  Vauxhall  Baojun  Jiefang  and Wuling brand names. The company also sells cars  trucks  and crossovers to dealers for consumer retail sales  as well as to fleet customers  including daily rental car companies  commercial fleet customers  leasing companies  and governments. In addition  it offers connected safety  security and mobility solutions  and information technology services. The company  through its subsidiary  General Motors Financial Company  Inc.  provides automotive financing services. General Motors Company was founded in 1897 and is based in Detroit  Michigan.
F,Ford Motor Co,FORD MOTOR CO,3711,NYSE,Ford Motor Co   engages in the manufacture  distribution  and sale of automobiles   It operates through the following segments  Automotive  Financial Services  Ford Smart Mobility  and Central Treasury Operations   The Automotive segment includes the sale of Ford and Lincoln brand vehicles  service parts  and accessories worldwide  together with the associated costs to develop  manufacture  distribute  and service the vehicles  parts  and accessories   The Financial Services segment includes its vehicle-related financing and leasing activities at Ford Motor Credit Company LLC    The Central Treasury Operations segment engages in decision making for investments  risk management activities  and providing financing for the Automotive segment   The Ford Smart Mobility segment designs  builds  grows  and invests in emerging mobility services   The company was founded by Henry Ford on June 16  1903 and is headquartered in Dearborn  MI  ,Ford Motor Company  together with its subsidiaries  designs  manufactures  markets  and services automobiles in North America  South America  Europe  the Middle East and Africa  and the Asia Pacific. The company's Automotive segment develops  manufactures  distributes  and services cars  trucks  SUVs  and electrified vehicles under the Ford name; and luxury vehicles under the Lincoln name  as well as service parts and accessories. This segment markets its products through distributors and dealers  as well as through dealerships to fleet customers  including commercial fleet customers  daily rental car companies  and governments. Its Financial Services segment offers various automotive financing products to and through automotive dealers. Its financing products comprise retail installment sale contracts for new and used vehicles; and direct financing leases for new vehicles to retail and commercial customers  such as leasing companies  government entities  daily rental car companies  and fleet customers. This segment also offers wholesale loans to dealers to finance the purchase of vehicle inventory; and loans to dealers to finance working capital and improvement of dealership facilities  purchase dealership real estate  and other dealer vehicle programs. The company was founded in 1903 and is based in Dearborn  Michigan.
T,AT&T Inc,AT&T INC.,4813,NYSE,AT&T  Inc   is a holding company  which engages in the provision of telecommunications and digital entertainment services   It operates through the following segments  Business Solutions  Entertainment Group  Consumer Mobility  and International   The Business Solutions segment includes wired and wireless services to customers who purchased through employer-sponsored plans   The Entertainment Group segment offers video  Internet  and voice communication services through satellite technology and wired network   The Consumer Mobility segment consists of voice  data  and home monitoring activities   The International segment provides video entertainment and wireless services in Latin America and Mexico   The company was founded in 1983 and is headquartered in Dallas  TX  ,AT&T Inc. provides telecommunications and digital entertainment services. The company operates through four segments: Business Solutions  Entertainment Group  Consumer Mobility  and International. The Business Solutions segment offers wireless  fixed strategic  legacy voice and data  wireless equipment  and other services to business  governmental  and wholesale customers  as well as individual subscribers. The Entertainment Group segment provides video entertainment and audio programming channels to approximately 25.3 million subscribers; broadband and Internet services to 12.9 million residential subscribers; local and long-distance voice services to residential customers  as well as DSL Internet access services; and voice services over IP-based technology  and technical support and other customer service functions and equipment. The Consumer Mobility segment offers wireless services to consumers  and wireless wholesale and resale subscribers  such as long-distance and roaming services. This segment provides postpaid and prepaid wireless voice and data communications services; consulting  advertising  and application and co-location services; and sells a variety of handsets  wirelessly enabled computers  and personal computer wireless data cards through company-owned stores  agents  or third-party retail stores  as well as accessories  such as carrying cases  hands-free devices  and other items. The International segment offers digital television services  including local and international digital-quality video entertainment and audio programming under the DIRECTV and SKY brands throughout Latin America. This segment also provides postpaid and prepaid wireless services to approximately 12.0 million subscribers under the AT&T and Unefon brands; and sells a range of handsets. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in November 2005. AT&T Inc. was founded in 1983 and is based in Dallas  Texas.
GE,General Electric Co,GENERAL ELECTRIC CO,3600,NYSE,General Electric Co   is a technology and financial services company that develops and manufactures products for the generation  transmission  distribution  control and utilization of electricity   Its products and services include aircraft engines  power generation  water processing  security technology  medical imaging  business and consumer financing  media content and industrial products   The company operates through eight segments  Power & Water  Oil & Gas  Energy Management  Aviation  Healthcare  Transportation  Appliances & Lighting and GE Capital   The Power & Water segment serves power generation  industrial  government and other customers worldwide with products and services related to energy production   The Oil & Gas segment supplies mission critical equipment for the global oil and gas industry  used in applications spanning the entire value chain from drilling and completion through production  liquefied natural gas and pipeline compression  pipeline inspection  and downstream processing in refineries and petrochemical plants   The Energy Management segment designs technology solutions for the delivery  management  conversion and optimization of electrical power for customers across multiple energy-intensive industries   The Aviation segment products and services include jet engines  aerospace systems and equipment  replacement parts and repair and maintenance services for all categories of commercial aircraft; for a wide variety of military aircraft  including fighters  bombers  tankers and helicopters; for marine applications; and for executive and regional aircraft   The Healthcare segment products include diagnostic imaging systems such as magnetic resonance  computed tomography and positron emission Tomography scanners  X-ray  nuclear imaging  digital mammography and molecular imaging technologies   The Transportation segment engages in global technology and supplier to the railroad  mining  marine and drilling industries   The Appliances & Lighting segment products include major appliances and related services for products such as refrigerators  freezers  electric and gas ranges  cooktops  dishwashers  clothes washers and dryers  microwave ovens  room air conditioners  residential water systems for filtration  softening and heating  and hybrid water heaters   The GE Capital segment offers financial services and products worldwide for businesses of all sizes  services include commercial loans and leases  fleet management  financial programs  credit cards  personal loans and other financial services   The company was founded by Thomas A   Edison in 1878 and is headquartered in Boston  MA  ,General Electric Company operates as an infrastructure and technology company worldwide. Its Power segment offers gas and steam power systems; maintenance  service  and upgrade solutions; distributed power gas engines; water treatment  wastewater treatment  and process system solutions; and nuclear reactors  fuels  and support services. The company's Renewable Energy segment provides wind turbine platforms  and hardware and software; onshore and offshore wind turbines; and solutions  products  and services to hydropower industry. Its Oil & Gas segment offers surface and subsea drilling and production systems  and equipment for floating production platforms; and compressors  turbines  turboexpanders  high pressure reactors  industrial power generation  and auxiliary equipment. The company's Aviation segment provides designs and produces commercial and military aircraft engines  integrated digital components  and electric power and mechanical aircraft systems; and aftermarket services. Its Healthcare segment offers diagnostic imaging and clinical systems; products for drug discovery  biopharmaceutical manufacturing  and cellular technologies; and medical technologies  software  analytics  cloud solutions  and implementation services. The company's Transportation segment provides freight and passenger locomotives  rail  and support advisory services; and parts  integrated software solutions and data analytics  software-enabled solutions  mining equipment and services  and marine diesel and stationary power diesel engines and motors  as well as overhaul  repair and upgrade  and wreck repair services. Its Energy Connections & Lighting segment offers industrial  grid  power conversion  automation and control  lighting  and current solutions. The company's Capital segment provides energy financial services; and commercial aircraft leasing  financing  and consulting services. General Electric Company was founded in 1892 and is headquartered in Boston  Massachusetts.
